accident_time,weather,temperature,humidity,construction_type,process,progress_rate,worker_count,risk_index
2019-07-04 11:30:00,안개,26.0,52.0,건축물/공장,기타,80,200,1
2019-07-04 13:40:00,안개,28.0,60.0,건축물/공장,기타,90,400,1
2019-07-04 13:40:00,맑음,30.0,60.0,건축물/공동주택,"마감, 도장",60,500,1
2019-07-04 14:23:00,맑음,33.0,60.0,건축물/근린생활시설,기타,30,19,6
2019-07-04 15:00:00,맑음,20.0,50.0,건축물/공동주택,"철근, 연결",10,500,1
2019-07-04 16:10:00,맑음,33.0,50.0,건축물/공동주택,기타,5,19,1
2019-07-04 16:40:00,흐림,28.0,50.0,건축물/업무시설,"설비, 전기",40,200,2
2019-07-04 16:45:00,맑음,28.0,60.0,건축물/공장,콘크리트 타설,80,500,1
2019-07-04 18:10:00,맑음,26.0,30.0,건축물/공동주택,"해체, 철거",50,400,1
2019-07-05 08:30:00,맑음,26.0,61.0,건축물/문화 및 집회시설,"철근, 연결",40,35,1
2019-07-05 09:50:00,맑음,24.0,59.0,하천/제방(통관,기타,90,19,1
2019-07-05 10:00:00,맑음,24.0,45.0,터널/철도터널,"해체, 철거",90,75,4
2019-07-05 10:50:00,맑음,28.0,60.0,건축물/공동주택,"설비, 전기",50,500,1
2019-07-05 11:00:00,맑음,24.0,40.0,건축물/근린생활시설,"철근, 연결",90,19,1
2019-07-05 11:25:00,맑음,25.0,90.0,건축물/업무시설,기타,20,200,1
2019-07-05 11:40:00,강우,33.0,93.0,건축물/공동주택,"굴착, 조성",80,35,1
2019-07-05 11:50:00,맑음,28.0,75.0,건축물/관광 휴게시설,"철근, 연결",90,19,2
2019-07-05 13:10:00,안개,25.0,62.0,건축물/업무시설,"철근, 연결",70,400,1
2019-07-05 13:30:00,맑음,28.0,15.0,건축물/기타,"철근, 연결",90,400,1
2019-07-05 13:30:00,맑음,30.0,50.0,건축물/종교시설,기타,80,75,1
2019-07-05 15:00:00,맑음,26.0,60.0,건축물/교육연구시설,기타,90,35,3
2019-07-05 15:05:00,흐림,28.0,54.0,건축물/근린생활시설,"절단, 가공",30,19,1
2019-07-05 15:40:00,맑음,26.0,75.0,건축물/공동주택,정리,30,500,1
2019-07-05 16:00:00,맑음,33.0,60.0,건축물/공동주택,"철근, 연결",90,75,1
2019-07-05 16:20:00,맑음,25.0,60.0,건축물/공장,"철근, 연결",80,500,3
2019-07-05 17:00:00,맑음,33.0,42.0,기타/부지조성,"설비, 전기",60,200,1
2019-07-06 08:25:00,흐림,28.0,50.0,건축물/공동주택,"절단, 가공",10,200,1
2019-07-06 09:30:00,흐림,27.0,50.0,건축물/공동주택,"해체, 철거",70,19,1
2019-07-06 10:00:00,맑음,26.0,70.0,기타/부지조성,"용접, 보수",70,19,1
2019-07-06 10:00:00,안개,23.0,75.0,건축물/단독주택,"굴착, 조성",90,75,1
2019-07-06 10:10:00,맑음,29.0,70.0,건축물/공동주택,기타,90,19,2
2019-07-06 11:00:00,맑음,28.0,40.0,건축물/기타,기타,5,19,1
2019-07-06 13:49:00,맑음,33.0,36.0,도로/도로,기타,60,35,1
2019-07-06 14:00:00,흐림,34.0,49.0,환경시설/공공폐수처리시설,기타,10,19,5
2019-07-06 14:00:00,흐림,29.0,41.0,건축물/공동주택,기타,70,19,1
2019-07-06 14:42:00,맑음,30.0,60.0,건축물/근린생활시설,"굴착, 조성",90,35,1
2019-07-06 14:48:00,맑음,34.0,42.0,건축물/교육연구시설,"철근, 연결",40,19,2
2019-07-06 15:00:00,맑음,32.0,65.0,건축물/교육연구시설,기타,20,35,1
2019-07-06 16:25:00,맑음,30.0,60.0,건축물/공장,"철근, 연결",40,35,4
2019-07-07 07:40:00,맑음,29.0,25.0,건축물/업무시설,기타,90,75,1
2019-07-07 11:50:00,맑음,22.0,56.0,옹벽 및 절토사면/절토사면,"운반, 하역",5,19,1
2019-07-07 15:00:00,흐림,25.0,54.0,건축물/공동주택,기타,20,200,1
2019-07-08 07:20:00,흐림,25.0,60.0,건축물/교육연구시설,기타,70,35,1
2019-07-08 07:35:00,맑음,25.0,46.0,건축물/공동주택,"철근, 연결",10,200,5
2019-07-08 08:00:00,맑음,26.0,53.0,건축물/공동주택,"해체, 철거",40,400,1
2019-07-08 08:10:00,맑음,25.0,55.0,건축물/노유자시설,"운반, 하역",10,35,1
2019-07-08 08:30:00,흐림,22.0,50.0,건축물/업무시설,기타,5,19,1
2019-07-08 08:30:00,맑음,24.0,54.0,건축물/공동주택,"철근, 연결",30,500,1
2019-07-08 09:00:00,맑음,28.0,60.0,상하수도/하수도,기타,70,19,1
2019-07-08 09:00:00,맑음,28.0,65.0,건축물/문화 및 집회시설,정리,40,75,1
2019-07-08 09:05:00,맑음,25.0,45.0,건축물/공동주택,"철근, 연결",5,35,1
2019-07-08 10:00:00,맑음,27.0,68.0,건축물/공동주택,기타,40,200,2
2019-07-08 10:00:00,흐림,22.0,82.0,건축물/공동주택,"마감, 도장",10,75,1
2019-07-08 10:25:00,흐림,30.0,60.0,건축물/업무시설,"설비, 전기",90,75,1
2019-07-08 13:30:00,맑음,33.0,65.0,도로/기타,"철근, 연결",90,35,1
2019-07-08 14:30:00,맑음,24.0,30.0,건축물/노유자시설,"해체, 철거",70,75,1
2019-07-08 15:00:00,맑음,25.0,45.0,건축물/공동주택,"운반, 하역",20,200,3
2019-07-08 15:00:00,맑음,27.0,43.0,건축물/공동주택,"철근, 연결",80,75,1
2019-07-08 15:00:00,흐림,26.0,49.0,건축물/공동주택,"용접, 보수",70,75,1
2019-07-08 16:30:00,맑음,30.0,50.0,상하수도/하수도,"운반, 하역",90,35,2
2019-07-09 07:00:00,맑음,23.0,60.0,건축물/교육연구시설,"해체, 철거",20,75,1
2019-07-09 07:30:00,맑음,30.0,60.0,도로/도로,기타,80,75,3
2019-07-09 08:30:00,맑음,23.0,58.0,건축물/근린생활시설,기타,5,35,1
2019-07-09 08:30:00,맑음,27.0,65.0,건축물/교육연구시설,"용접, 보수",10,75,1
2019-07-09 08:40:00,흐림,25.0,60.0,건축물/숙박시설,"철근, 연결",20,200,1
2019-07-09 10:00:00,맑음,30.0,50.0,건축물/업무시설,"마감, 도장",50,200,1
2019-07-09 10:00:00,흐림,23.0,73.0,건축물/공동주택,"마감, 도장",80,200,1
2019-07-09 10:00:00,맑음,24.0,60.0,건축물/공동주택,기타,5,75,1
2019-07-09 10:40:00,강우,17.0,98.0,환경시설/하수처리시설,기타,60,200,3
2019-07-09 10:43:00,맑음,25.0,70.0,건축물/관광 휴게시설,기타,70,35,2
2019-07-09 11:30:00,맑음,30.0,20.0,건축물/근린생활시설,"골조, 거푸집",70,19,1
2019-07-09 11:30:00,강풍,25.0,50.0,옹벽 및 절토사면/옹벽,기타,80,35,2
2019-07-09 11:50:00,맑음,26.0,76.0,건축물/종교시설,기타,5,19,1
2019-07-09 13:05:00,맑음,28.0,60.0,건축물/공장,"해체, 철거",70,19,3
2019-07-09 13:50:00,흐림,24.0,69.0,상하수도/하수도,기타,40,19,1
2019-07-09 15:20:00,맑음,28.0,48.0,옹벽 및 절토사면/옹벽,"철근, 연결",70,200,1
2019-07-09 15:30:00,맑음,33.0,54.0,건축물/공동주택,"해체, 철거",30,200,1
2019-07-09 15:30:00,맑음,23.0,71.0,도로/도로,기타,90,35,1
2019-07-09 15:40:00,맑음,25.0,46.0,건축물/공동주택,기타,5,19,1
2019-07-09 16:00:00,맑음,24.0,65.0,건축물/판매시설,"해체, 철거",80,500,3
2019-07-09 16:30:00,맑음,29.0,65.0,건축물/공장,"운반, 하역",60,200,1
2019-07-09 16:50:00,맑음,27.0,45.0,도로/도로,기타,60,35,1
2019-07-09 17:05:00,맑음,25.0,46.0,건축물/업무시설,기타,60,400,1
2019-07-10 08:00:00,흐림,22.0,78.0,건축물/근린생활시설,기타,90,19,1
2019-07-10 09:24:00,맑음,28.0,30.0,건축물/교육연구시설,"해체, 철거",20,35,2
2019-07-10 09:30:00,흐림,24.0,90.0,건축물/공동주택,기타,60,19,2
2019-07-10 10:00:00,강우,22.0,70.0,건축물/공동주택,기타,80,75,1
2019-07-10 11:05:00,맑음,22.0,72.0,건축물/공장,기타,90,500,1
2019-07-10 13:30:00,흐림,25.0,73.0,건축물/공동주택,기타,90,35,1
2019-07-10 14:00:00,강우,20.3,72.0,건축물/공동주택,"절단, 가공",90,35,1
2019-07-10 15:00:00,맑음,30.0,73.0,건축물/공동주택,"용접, 보수",10,500,1
2019-07-10 16:00:00,맑음,32.0,54.0,도로/도로,정리,10,19,1
2019-07-11 08:30:00,맑음,23.0,50.0,기타/부지조성,기타,60,500,2
2019-07-11 09:00:00,흐림,21.0,84.0,건축물/근린생활시설,"철근, 연결",50,19,1
2019-07-11 09:00:00,강우,23.0,60.0,건축물/공동주택,기타,10,200,1
2019-07-11 09:00:00,흐림,26.0,50.0,건축물/공동주택,"운반, 하역",50,19,1
2019-07-11 10:00:00,흐림,25.0,51.0,건축물/교육연구시설,기타,50,75,1
2019-07-11 10:00:00,강우,22.0,77.0,건축물/공동주택,"해체, 철거",90,35,2
2019-07-11 10:11:00,흐림,21.0,77.0,건축물/단독주택,"해체, 철거",90,19,1
2019-07-11 10:20:00,맑음,26.0,60.0,도로/기타,"설비, 전기",60,35,1
2019-07-12 08:48:00,맑음,24.0,73.0,건축물/기타,기타,80,19,1
2019-07-12 09:00:00,맑음,23.0,93.0,건축물/근린생활시설,"설비, 전기",30,19,1
2019-07-12 09:10:00,맑음,28.0,60.0,건축물/공동주택,"용접, 보수",90,75,1
2019-07-12 09:22:00,맑음,26.0,20.0,건축물/공동주택,"해체, 철거",10,75,1
2019-07-12 09:40:00,맑음,25.0,67.0,건축물/근린생활시설,"해체, 철거",60,75,2
2019-07-12 09:55:00,맑음,24.0,70.0,건축물/업무시설,기타,30,35,1
2019-07-12 10:30:00,흐림,25.0,74.0,기타/부지조성,기타,10,19,1
2019-07-12 13:00:00,맑음,28.0,60.0,건축물/업무시설,"골조, 거푸집",90,75,1
2019-07-12 13:24:00,맑음,23.0,75.0,환경시설/하수처리시설,"철근, 연결",30,75,1
2019-07-12 13:30:00,맑음,29.0,70.0,건축물/근린생활시설,"해체, 철거",30,19,1
2019-07-12 14:00:00,맑음,28.0,60.0,건축물/공동주택,"해체, 철거",10,200,1
2019-07-12 14:10:00,맑음,25.0,20.0,건축물/업무시설,"운반, 하역",5,19,1
2019-07-12 14:40:00,맑음,23.0,50.0,건축물/공동주택,"마감, 도장",50,75,1
2019-07-12 15:00:00,흐림,25.0,60.0,건축물/교정 및 군사시설,"해체, 철거",80,19,2
2019-07-12 15:00:00,맑음,23.0,65.0,건축물/공동주택,정리,70,400,1
2019-07-12 15:00:00,맑음,30.0,30.0,건축물/공장,기타,90,35,2
2019-07-12 15:30:00,흐림,28.0,69.0,건축물/업무시설,기타,60,200,1
2019-07-12 15:30:00,흐림,25.0,65.0,건축물/공동주택,"해체, 철거",80,200,1
2019-07-12 15:30:00,맑음,29.0,50.0,건축물/공동주택,"해체, 철거",40,200,3
2019-07-13 09:30:00,맑음,29.0,60.0,건축물/공동주택,"철근, 연결",30,35,16
2019-07-13 09:30:00,맑음,27.0,30.0,도로/도로,기타,60,19,1
2019-07-13 10:00:00,맑음,25.0,50.0,상하수도/하수도,"해체, 철거",50,35,1
2019-07-13 10:10:00,맑음,28.0,60.0,건축물/공동주택,기타,10,200,1
2019-07-13 10:40:00,흐림,22.0,61.0,건축물/근린생활시설,기타,5,19,1
2019-07-13 11:30:00,흐림,23.0,70.0,교량/철도교량,"해체, 철거",10,35,1
2019-07-13 13:05:00,맑음,28.0,53.0,상하수도/상수도,"운반, 하역",50,19,1
2019-07-13 14:30:00,맑음,33.0,60.0,건축물/교육연구시설,기타,30,35,2
2019-07-13 14:30:00,흐림,20.0,40.0,건축물/의료시설,기타,90,19,2
2019-07-13 15:10:00,맑음,24.0,80.0,기타/부지조성,기타,40,19,1
2019-07-14 08:20:00,맑음,30.0,50.0,상하수도/하수도,"운반, 하역",80,35,2
2019-07-14 13:15:00,맑음,25.0,73.0,도로/도로,"철근, 연결",60,19,1
2019-07-14 14:55:00,맑음,24.0,69.0,건축물/기타,기타,90,75,1
2019-07-14 15:00:00,맑음,32.0,55.0,건축물/운수시설,"해체, 철거",60,19,1
2019-07-15 08:10:00,맑음,23.0,45.0,건축물/기타,정리,5,19,1
2019-07-15 08:20:00,흐림,23.0,97.0,건축물/공동주택,"철근, 연결",60,400,3
2019-07-15 08:20:00,흐림,22.0,40.0,건축물/공동주택,"철근, 연결",40,35,2
2019-07-15 08:40:00,흐림,24.0,70.0,건축물/근린생활시설,기타,20,200,1
2019-07-15 09:00:00,맑음,29.0,60.0,건축물/업무시설,기타,20,75,1
2019-07-15 09:10:00,흐림,25.0,75.0,터널/도로터널,기타,40,75,1
2019-07-15 09:30:00,맑음,30.0,88.0,상하수도/상수도,기타,80,75,4
2019-07-15 09:32:00,맑음,30.0,60.0,철도/일반 및 고속철도,"철근, 연결",90,19,1
2019-07-15 10:20:00,흐림,26.0,70.0,상하수도/하수도,"철근, 연결",30,19,1
2019-07-15 10:30:00,강우,27.0,80.0,건축물/공동주택,기타,60,75,1
2019-07-15 11:00:00,맑음,32.0,80.0,건축물/근린생활시설,정리,90,200,3
2019-07-15 11:00:00,흐림,27.0,40.0,건축물/공동주택,기타,60,400,2
2019-07-15 11:11:00,맑음,28.0,73.0,건축물/교육연구시설,기타,60,19,1
2019-07-15 11:35:00,흐림,22.0,50.0,건축물/근린생활시설,"해체, 철거",90,19,1
2019-07-15 13:10:00,흐림,26.0,30.0,건축물/근린생활시설,"마감, 도장",40,19,1
2019-07-15 14:30:00,맑음,10.0,70.0,건축물/공동주택,"설비, 전기",30,35,2
2019-07-15 14:39:00,맑음,25.0,80.0,건축물/기타,기타,30,35,1
2019-07-15 15:13:00,맑음,28.0,70.0,건축물/업무시설,"설비, 전기",70,35,1
2019-07-15 15:30:00,흐림,26.0,82.0,옹벽 및 절토사면/옹벽,"철근, 연결",40,35,1
2019-07-16 08:30:00,흐림,24.0,73.0,건축물/공동주택,"마감, 도장",60,200,1
2019-07-16 08:50:00,흐림,28.0,40.0,건축물/단독주택,정리,5,19,1
2019-07-16 09:00:00,맑음,24.0,10.0,도로/도로,"철근, 연결",5,19,1
2019-07-16 09:00:00,흐림,26.0,60.0,교량/도로교량,"해체, 철거",50,35,1
2019-07-16 09:30:00,맑음,27.0,80.0,항만/계류시설,기타,40,19,1
2019-07-16 10:00:00,맑음,24.0,44.0,건축물/단독주택,기타,80,19,1
2019-07-16 10:00:00,강우,29.0,79.0,건축물/공동주택,"굴착, 조성",80,200,1
2019-07-16 10:20:00,흐림,24.0,85.0,건축물/공장,기타,5,19,1
2019-07-16 10:30:00,맑음,25.0,40.0,건축물/공장,기타,20,75,1
2019-07-16 11:25:00,맑음,30.0,30.0,건축물/공동주택,"철근, 연결",80,400,1
2019-07-16 13:20:00,맑음,27.0,79.0,하천/배수펌프장,"운반, 하역",40,19,2
2019-07-16 14:00:00,맑음,27.0,80.0,항만/계류시설,기타,40,19,1
2019-07-16 14:00:00,맑음,27.0,60.0,항만/기타,"철근, 연결",90,19,1
2019-07-16 14:35:00,맑음,27.0,40.0,도로/도로,"해체, 철거",80,35,1
2019-07-16 14:40:00,맑음,31.0,80.0,건축물/공동주택,"해체, 철거",5,19,1
2019-07-16 15:00:00,흐림,31.0,60.0,건축물/업무시설,"철근, 연결",20,200,1
2019-07-16 16:00:00,맑음,26.0,60.0,건축물/공동주택,정리,40,19,1
2019-07-16 16:00:00,흐림,24.0,95.0,건축물/숙박시설,콘크리트 타설,30,19,1
2019-07-16 16:10:00,맑음,28.0,60.0,건축물/교육연구시설,"설비, 전기",20,35,2
2019-07-16 16:30:00,맑음,32.0,50.0,건축물/의료시설,기타,70,500,2
2019-07-16 17:30:00,흐림,28.0,98.0,건축물/기타,기타,10,200,3
2019-07-17 09:23:00,흐림,20.0,88.0,건축물/공동주택,기타,90,19,1
2019-07-17 10:00:00,맑음,30.0,60.0,건축물/근린생활시설,기타,30,75,2
2019-07-17 10:00:00,맑음,28.0,70.0,건축물/공동주택,"운반, 하역",70,200,7
2019-07-17 11:40:00,맑음,24.3,60.0,건축물/근린생활시설,"마감, 도장",80,19,1
2019-07-17 11:46:00,흐림,26.0,30.0,건축물/공동주택,정리,70,200,2
2019-07-17 11:50:00,맑음,30.0,50.0,옹벽 및 절토사면/옹벽,"철근, 연결",60,35,23
2019-07-17 13:30:00,맑음,20.0,50.0,건축물/기타,"철근, 연결",90,200,61
2019-07-17 14:00:00,흐림,30.0,60.0,건축물/공장,"해체, 철거",90,35,1
2019-07-17 14:00:00,강우,28.0,90.0,환경시설/소각장,"철근, 연결",80,200,1
2019-07-17 14:30:00,흐림,29.0,65.0,건축물/창고시설,정리,60,200,1
2019-07-17 14:40:00,맑음,30.0,60.0,상하수도/기타,"철근, 연결",70,19,1
2019-07-17 15:00:00,맑음,30.0,70.0,건축물/공동주택,"철근, 연결",50,19,9
2019-07-17 15:30:00,강우,26.0,81.0,건축물/단독주택,"운반, 하역",20,19,1
2019-07-17 16:30:00,맑음,29.0,69.0,교량/도로교량,"해체, 철거",50,35,1
2019-07-17 16:40:00,맑음,28.0,65.0,기타/부지조성,기타,90,35,1
2019-07-17 22:00:00,맑음,23.0,80.0,상하수도/하수도,"설비, 전기",40,75,1
2019-07-18 08:30:00,맑음,21.0,50.0,건축물/공장,"철근, 연결",90,500,30
2019-07-18 09:50:00,강우,24.0,85.0,건축물/공동주택,"철근, 연결",40,35,1
2019-07-18 10:00:00,흐림,28.0,60.0,건축물/공동주택,"운반, 하역",60,400,1
2019-07-18 10:29:00,흐림,27.0,75.0,건축물/공동주택,기타,20,19,1
2019-07-18 11:00:00,맑음,28.0,50.0,건축물/공동주택,"용접, 보수",50,200,9
2019-07-18 11:15:00,맑음,26.0,85.0,건축물/공동주택,"해체, 철거",10,400,1
2019-07-18 14:40:00,맑음,29.0,70.0,도로/도로,"해체, 철거",10,75,1
2019-07-18 15:00:00,맑음,24.0,88.0,건축물/노유자시설,기타,10,35,1
2019-07-18 16:40:00,강우,25.0,70.0,건축물/교육연구시설,기타,80,19,1
2019-07-18 17:30:00,맑음,24.0,79.0,건축물/공동주택,"해체, 철거",50,200,1
2019-07-19 09:50:00,맑음,28.0,46.0,건축물/공동주택,정리,10,200,1
2019-07-19 10:00:00,맑음,21.0,50.0,건축물/공장,"설비, 전기",90,500,19
2019-07-19 10:00:00,맑음,26.0,67.0,건축물/운수시설,"해체, 철거",10,35,1
2019-07-19 11:00:00,맑음,30.0,50.0,건축물/창고시설,"설비, 전기",90,200,3
2019-07-19 11:20:00,맑음,31.0,54.0,건축물/교육연구시설,기타,20,200,5
2019-07-19 11:40:00,흐림,30.0,70.0,건축물/창고시설,"철근, 연결",70,19,1
2019-07-19 12:10:00,맑음,22.0,60.0,상하수도/상수도,기타,50,200,1
2019-07-19 13:30:00,맑음,30.0,60.0,건축물/공장,기타,70,19,1
2019-07-19 15:10:00,맑음,33.0,57.0,건축물/공동주택,기타,70,500,1
2019-07-19 16:00:00,강우,23.0,100.0,터널/도로터널,"운반, 하역",30,75,1
2019-07-19 16:25:00,강우,35.0,10.0,건축물/공동주택,기타,20,500,1
2019-07-20 07:20:00,맑음,30.0,60.0,건축물/근린생활시설,"설비, 전기",20,19,6
2019-07-20 09:30:00,강우,23.0,99.0,건축물/공동주택,기타,80,200,1
2019-07-20 10:00:00,흐림,32.0,90.0,건축물/공동주택,"골조, 거푸집",80,200,1
2019-07-20 10:31:00,흐림,28.0,70.0,건축물/공동주택,기타,30,200,1
2019-07-20 14:30:00,맑음,33.0,50.0,건축물/공장,기타,90,500,1
2019-07-20 14:40:00,강우,23.0,40.0,건축물/종교시설,기타,10,35,1
2019-07-20 15:00:00,흐림,30.0,55.0,건축물/업무시설,"설비, 전기",5,75,1
2019-07-20 15:00:00,흐림,31.0,40.0,건축물/공동주택,"설비, 전기",5,200,1
2019-07-20 15:30:00,맑음,25.0,80.0,건축물/공동주택,"철근, 연결",20,35,2
2019-07-20 15:40:00,맑음,29.0,71.0,교량/도로교량,"설비, 전기",40,19,1
2019-07-21 10:20:00,맑음,30.0,10.0,건축물/교육연구시설,정리,60,35,2
2019-07-21 14:30:00,흐림,27.0,70.0,건축물/공장,기타,30,200,1
2019-07-22 07:50:00,안개,26.0,74.0,건축물/교육연구시설,"골조, 거푸집",30,200,1
2019-07-22 08:00:00,흐림,24.0,74.0,건축물/공동주택,"설비, 전기",60,400,1
2019-07-22 09:00:00,맑음,27.0,74.0,건축물/근린생활시설,"철근, 연결",90,35,2
2019-07-22 09:00:00,맑음,26.0,81.0,건축물/공동주택,기타,50,500,1
2019-07-22 09:30:00,흐림,31.0,59.0,터널/철도터널,기타,80,75,6
2019-07-22 09:30:00,흐림,23.0,55.0,도로/도로,기타,90,35,1
2019-07-22 10:00:00,흐림,26.0,75.0,건축물/종교시설,"철근, 연결",50,35,1
2019-07-22 10:00:00,맑음,28.0,75.0,교량/도로교량,"해체, 철거",90,35,1
2019-07-22 10:00:00,흐림,28.0,20.0,건축물/공동주택,"운반, 하역",80,200,4
2019-07-22 10:20:00,맑음,29.0,55.0,건축물/업무시설,"마감, 도장",40,35,1
2019-07-22 10:30:00,흐림,27.0,97.0,건축물/공동주택,기타,20,75,1
2019-07-22 11:30:00,맑음,31.0,74.0,건축물/공동주택,"설비, 전기",90,200,1
2019-07-22 12:40:00,맑음,31.0,70.0,건축물/업무시설,기타,80,19,1
2019-07-22 13:35:00,흐림,31.0,80.0,도로/도로,"해체, 철거",60,19,1
2019-07-22 14:00:00,맑음,25.0,60.0,건축물/근린생활시설,기타,5,19,6
2019-07-22 14:20:00,맑음,24.0,92.0,도로/도로,"용접, 보수",90,19,1
2019-07-22 14:30:00,맑음,31.0,20.0,건축물/공동주택,"용접, 보수",90,400,1
2019-07-22 14:42:00,맑음,30.0,60.0,건축물/공장,기타,40,35,4
2019-07-22 14:50:00,맑음,26.0,65.0,환경시설/수처리설비시설,기타,90,200,1
2019-07-22 15:30:00,맑음,31.0,74.0,건축물/의료시설,"철근, 연결",60,200,1
2019-07-22 15:47:00,맑음,33.0,70.0,건축물/교육연구시설,기타,80,500,2
2019-07-22 16:00:00,맑음,28.0,70.0,건축물/교육연구시설,"철근, 연결",60,19,1
2019-07-23 07:30:00,맑음,25.0,77.0,건축물/교육연구시설,기타,90,19,2
